정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
검단우미린파크뷰1단지,89499,1181,85,1181,85,0,40
검단우미린파크뷰1단지,89500,109,231,109,231,0,10
검단우미린파크뷰2단지,89469,4702,1626,4702,1626,0,204
검단우미린파크뷰2단지,89501,1611,3228,1611,3228,0,156
검단우방아이유쉘아파트,42688,256,391,250,391,6,20
검단원흥아파트,42400,1465,1172,1463,1172,2,85
검단원흥아파트,42401,1285,2377,1285,2377,0,118
검단지식산업센타,89054,6823,202,6818,202,5,226
검단지식산업센타,89063,207,4636,207,4636,0,156
검단초등학교,42475,7735,3068,7720,3068,15,348
검단초등학교,42482,2953,5528,2950,5528,3,273
검단초등학교,89332,103,127,98,127,5,7
검단초등학교,89333,117,179,110,179,7,9
검단출장소,42423,14043,10519,14038,10519,5,792
검단출장소,42424,4004,9329,3997,9329,7,430
검단탑종합병원,42877,405,486,405,486,0,28
검단하나아파트,42421,1902,449,1898,449,4,75
검단하나아파트,42422,310,381,304,381,6,22
검문소,43662,1,8,1,8,0,0
검문소,43812,10,84,9,84,1,3
검문소,90042,1,5,1,5,0,0
검문소,90043,19,107,18,107,1,4
검바위역,42348,3142,708,3129,708,13,124
검바위역,42349,638,4247,636,4247,2,157
검암경서동행정복지센터,42352,1751,6014,1749,6014,2,250
검암경서동행정복지센터,42353,5734,1763,5733,1763,1,241
검암사거리,42356,2338,3832,2334,3832,4,199
검암사거리,42357,4557,1980,4534,1980,23,210
검암사거리,42358,6293,2009,6293,2009,0,267
검암역(시내방면),42364,10579,404,10556,404,23,354
검암역(원당방면),42363,3480,26587,3472,26587,8,969
검암역.서해그랑블아파트,42360,5054,5551,5054,5551,0,342
검암역로열파크씨티푸르지오1단지,89167,10141,38,10073,38,68,328
검암역로열파크씨티푸르지오1단지,89168,24,8893,14,8893,10,287
검암역로열파크씨티푸르지오2단지,89169,529,61,526,61,3,19
검암역로열파크씨티푸르지오2단지,89170,41,4919,41,4919,0,160
검암역입구,42851,20073,8108,20060,8108,13,909
검암역입구,42852,9789,12351,9786,12351,3,714
검암역입구(시천교밑),89250,12226,3004,12223,3004,3,491
검암중학교,42359,3582,1896,3577,1896,5,176
검암중학교,42362,2092,2781,2092,2781,0,157
검암초등학교,42361,362,5752,362,5752,0,197
겐트대학교글로벌캠퍼스,38769,32,1,32,1,0,1
겐트대학교글로벌캠퍼스,38770,169,542,169,542,0,22
경기국제통상고.포도마을뉴서울.중앙공원,55042,550,1567,543,1567,7,68
경기국제통상고.포도마을뉴서울.중앙공원,55043,1078,840,1070,840,8,61
경기도교육청학생교육원,43162,0,95,0,95,0,3
경기도교육청학생교육원,43222,189,19,189,19,0,6
경기주유소,43051,115,411,115,411,0,16
경남1차,40343,7787,378,7702,378,85,263
경남1차아파트,40376,12814,6817,12805,6817,9,633
경남2차,40305,8297,77,8252,77,45,270
경남아너스빌,42099,2649,1500,2649,1500,0,133
경남아너스빌,42102,1351,2328,1350,2328,1,118
경남아너스빌아파트,42110,4739,3023,4736,3023,3,250
경남아너스빌아파트,42111,1643,2731,1637,2731,6,141
경남아파트,35143,7273,2360,7249,2360,24,310
경남아파트,35147,1361,2874,1343,2874,18,136
경남아파트,38281,7692,6931,7689,6931,3,471
경남아파트,41011,13662,3840,13644,3840,18,564
경남아파트,41014,3704,7500,3699,7500,5,361
경남아파트,42332,6473,3505,6466,3505,7,321
경남아파트,42334,3212,6353,3207,6353,5,308
경남아파트308동앞,40334,53,4873,53,4873,0,158
경남아파트311동앞,40300,27,5501,27,5501,0,178
경남아파트313동앞,40287,63,9026,50,9026,13,293
경동택배,89315,80,2,80,2,0,2
경동택배,89325,0,31,0,31,0,1
경명초등학교,89216,1413,562,1413,562,0,63
경명초등학교,89277,4989,7835,4989,7835,0,413
경명초등학교,89278,4342,5690,4342,5690,0,323
경방신약,39136,5140,1229,5139,1229,1,205
경방신약,39138,2456,8829,2456,8829,0,364
경복예식장,39399,9877,4888,9803,4888,74,476
경서농원,42333,76,549,76,549,0,20
경서농원,42335,31,969,31,969,0,32
경서지구입구,42303,1016,5424,1016,5424,0,207
경서지구입구,42671,2286,2349,2286,2349,0,149
경서지구입구,42672,3780,2750,3780,2750,0,210
경서초등학교,42569,3975,2478,3975,2478,0,208
경서초등학교,42570,2589,2463,2589,2463,0,162
경신마을,39646,150,163,150,163,0,10
경신마을,39982,104,832,104,832,0,30
경신아파트,41216,1696,854,1693,854,3,82
경신아파트,41223,1556,3113,1553,3113,3,150
경연초중학교,89271,5647,4390,5647,4390,0,323
경연초중학교,89272,3070,4874,3070,4874,0,256
경연초중학교·청라센텀로제비앙,89286,2394,984,2394,984,0,108
경연초중학교·호반베르디움6차,89285,1803,1953,1802,1953,1,121
경인계량소,42549,783,3,777,3,6,25
경인계량소,42550,3,583,3,583,0,18
경인교대.부평향교,41138,790,832,789,832,1,52
경인교대.부평향교,41139,701,740,699,740,2,46
경인교대역입구,41428,7263,6274,7260,6274,3,436
경인교대역입구,41429,6607,7740,6600,7740,7,462
경인교회앞,40077,921,2990,918,2990,3,126
경인방송,37003,158,145,158,145,0,9
경인방송,37004,34,299,34,299,0,10
경인산업,39688,844,1549,844,1549,0,77
경인아라뱃길여객터미널,42869,256,14,256,14,0,8
경인여대,41277,3217,3958,3217,3958,0,231
경인여대,41278,1558,2171,1556,2171,2,120
경인특장,42547,262,0,262,0,0,8
경인항다목적부두,89151,112,3,112,3,0,3
경인항다목적부두,89152,0,123,0,123,0,3
경전말,43934,39,1,37,1,2,1
경제자유구역청,38514,2343,2339,2343,2339,0,151
경제자유구역청,38515,2622,3997,2622,3997,0,213
경진브로아,39042,1144,1120,1144,1120,0,73
경흥빌라,43372,569,5,553,5,16,18
경흥빌라,43616,6,269,6,269,0,8
경희유치원앞,39991,146,483,146,483,0,20
경희유치원앞,39992,77,65,77,65,0,4
계량소,40195,2167,284,2155,284,12,79
계룡리슈빌,55225,4301,949,4301,949,0,169
계산공고,41167,2365,3542,2338,3542,27,190
계산공고,41170,4485,6633,4455,6633,30,358
계산공고앞,41169,2466,1530,2460,1530,6,128
계산국민체육센터,41276,1543,2608,1538,2608,5,133
계산국민체육센터,41613,1779,2112,1770,2112,9,125
계산동수협,41533,3400,3807,3399,3807,1,232
계산동아아파트,41231,155,1,155,1,0,5
계산동우체국,41427,7038,3016,7037,3016,1,324
