정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
송도컨벤시아남문,38660,2472,1297,2472,1297,0,121
송도컨벤시아남문,38661,1150,2274,1150,2274,0,110
송도타임스페이스,38720,1918,4772,1913,4772,5,215
송도테크노파크IT센터,38752,27,1112,27,1112,0,36
송도테크노파크IT센터,39929,4075,2657,4075,2657,0,217
송도파크레인동일하이빌,38625,12,59,12,59,0,2
송도파크레인동일하이빌,38626,666,1,666,1,0,21
송도파크레인입구,38538,509,3030,509,3030,0,114
송도파크레인입구,38539,1254,1273,1254,1273,0,81
송도파크자이,38627,682,575,679,575,3,40
송도파크자이,38628,25,588,25,588,0,19
송도파크자이아파트,38638,9570,8647,9537,8647,33,587
송도파크자이아파트정문,38677,1034,5160,1024,5160,10,199
송도푸르지오월드마크,38426,5517,6828,5509,6828,8,398
송도푸르지오하버뷰,38494,3297,4335,3288,4335,9,246
송도풍림아이원1단지,38033,3115,25346,3090,25346,25,918
송도풍림아이원2단지,38025,10111,15767,10074,15767,37,834
송도풍림아이원2단지,38026,10007,5364,9991,5364,16,495
송도풍림아이원2단지,38034,26358,3009,26313,3009,45,947
송도풍림아이원4단지,38032,3868,9273,3853,9273,15,423
송도힐스테이트,38479,16002,6339,15992,6339,10,720
송도힐스테이트5단지,38393,5895,6904,5895,6904,0,412
송도힐스테이트6단지,38554,24,77,24,77,0,3
송동마을.서초힐스아파트,22962,1239,109,1239,109,0,43
송림119안전센터,36165,65,266,65,266,0,10
송림3.5동행정복지센터(재능대),36030,2005,6420,2002,6420,3,271
송림4동행정복지센터,36127,2031,1855,2029,1855,2,125
송림고가교,37491,2300,1243,2299,1243,1,114
송림고가교,37492,1282,2360,1281,2360,1,117
송림고개(도화신동아아파트),37439,8715,8577,8688,8577,27,557
송림고개(도화신동아아파트),37501,10715,7261,10673,7261,42,579
송림동진로아파트,36154,300,330,300,330,0,20
송림동진로아파트,36155,98,774,97,774,1,28
송림빌라,43316,26,0,26,0,0,0
송림빌라,43775,4,20,4,20,0,0
송림시장,36015,216,377,216,377,0,19
송림오거리,36131,13735,4030,13720,4030,15,573
송림오거리,36132,3770,9169,3763,9169,7,417
송림주유소,36090,611,486,605,486,6,35
